ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q8279108,周钟岳,None,None,周钟岳,None,None,Kuomintang
Q8279164,周大業,None,None,周大業,None,None,Kuomintang
Q8280399,游彌堅,None,None,游彌堅,None,None,Kuomintang
Q7030970,Nie Gannu,Essayist and poet,None,聂绀弩,None,None,Kuomintang
Q6136801,Liao Chengzhi,Chinese politician,None,廖承志,None,None,Kuomintang
Q16260321,廖繼魯,None,None,廖繼魯,None,None,Kuomintang
Q15914103,Franklin Yu,None,None,俞谐,None,None,Kuomintang
Q15904185,Li Shizhen (ROC),None,None,李士珍,None,None,Kuomintang
Q22773557,Lawrence Ting,Taiwanese businessman,None,丁善理,None,None,Kuomintang
Q48809497,Wang Puchen,None,None,None,None,None,Kuomintang
Q31113,Kuomintang,political party in the Republic of China,Kuomintang of China,中國國民黨,中華民國政黨,中国国民党,Kuomintang
