ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q9627121,Category:Crime in Guyana,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q2881556,federal crime in the United States,None,None,None,None,None,Crime
Q7999447,Category:Crime in Papua New Guinea,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427305,Category:Crime in Burundi,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427421,Category:Crime in Hong Kong,Wikimedia category,None,Category:香港罪案,维基媒体项目分类,None,Crime
Q7523810,Single & Single,novel by John le Carré,None,None,None,None,Crime
Q15298836,WikiProject Crime and Criminal Biography,Wikimedia subject-area collaboration,Wikipedia:WikiProject Crime and Criminal Biography,None,None,None,Crime
Q15318524,Category:Crime in Curaçao,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q17149198,possession of stolen goods,"crime in which an individual has bought, been given, or acquired stolen goods in any way",None,None,None,None,Crime
Q30617223,Category:February 2016 crimes in the United States,Wikimedia category,None,None,维基媒体分类,None,Crime
Q30876559,Category:July 2016 crimes in Europe,Wikimedia category,None,None,维基媒体分类,None,Crime
Q29530900,Category:March 2017 crimes in Europe,Wikimedia category,None,None,维基媒体分类,None,Crime
Q1546545,grievous bodily harm,offence under English law,wounding,嚴重身體傷害,None,None,Crime
Q1332286,Forgery,"process of making, adapting, or imitating objects, statistics, or documents with the intent to deceive",None,偽造文書,None,假證書,Crime
Q1382412,The Girl Next Door,novel by Jack Ketchum,None,None,None,None,Crime
Q2855210,Ripper Street,British TV series,None,开膛街,None,None,Crime
Q3858303,Intimidation,intentional behavior that causes a person to fear injury or harm,None,恐嚇,None,None,Crime
Q240126,bullying,use of force or coercion to abuse or intimidate others,harassment,霸凌,None,None,Crime
Q124757,riot,form of civil disorder,riots,暴動,None,动乱,Crime
Q50851,Black market,market in which goods or services are traded illegally,None,黑市,None,地下市场,Crime
Q8427504,Category:Crime in Nebraska,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427597,Category:Crime in South America,Wikimedia category,None,Category:南美洲罪案,维基媒体项目分类,None,Crime
Q13258637,Category:Crime in Réunion,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q109931,Copycat crime,criminal act that is modelled or inspired by a previous crime that has been reported in the media or described in fiction,None,模仿犯,None,模仿犯罪,Crime
Q912437,Damages,American legal thriller television series,None,法網裂痕,None,金權遊戲,Crime
Q2401554,death of Nicky Verstappen,crime case in the Netherlands,murder on Nicky Verstappen,None,None,None,Crime
Q2159907,criminal,person who has committed a crime,None,罪犯,None,None,Crime
Q6189234,regulatory offence,offence not requiring mens rea,status offense,None,None,None,Crime
Q7445334,seditious conspiracy,None,None,共謀暴亂罪,None,None,Crime
Q7734056,The Firm,fictional criminal gang in the soap opera EastEnders,None,None,None,None,Crime
Q6213311,Category:Crime in Jordan,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q6213313,Category:Crime in Mexico,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q30150211,Category:June 2017 crimes in Asia,Wikimedia category,None,None,维基媒体分类,None,Crime
Q7999587,Category:Crime in Croatia,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q7577515,Spindoe,British television series,None,None,None,None,Crime
Q8427453,Category:Crime in Lesotho,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q8427471,Category:Crime in Madagascar,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q8427652,Category:Crime in Wales,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q11877090,Horse theft,None,None,None,None,None,Crime
Q13258646,Category:Crime in the Soviet Union,Wikimedia category,None,None,维基百科分类,None,Crime
Q15624851,Archaeological looting,unauthorised archaeological diggings,Illicit excavation,None,None,None,Crime
Q27149895,Category:June 2015 crimes,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q13258643,Category:Crime in Vanuatu,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q7897005,Unlawful assembly,Unlawful assembly,None,非法集結,None,None,Crime
Q15246348,Category:Crime in Jersey,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q4927633,Blood Lines,book by Ruth Rendell,None,None,None,None,Crime
Q47092,rape,type of sexual assault,None,强奸,一种性侵犯行为,姦淫,Crime
Q160128,treason,crime that covers some of the more extreme acts against one's sovereign or nation,None,叛國,None,叛亂罪,Crime
Q8427466,Category:Crime in Macau,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427672,Category:Crime in the Isle of Man,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q7999275,Category:Crime in Bhutan,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q37656943,Category:March 2016 crimes in the United States,Wikimedia category,None,None,维基媒体分类,None,Crime
Q8427255,Category:Crime in Alabama,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427444,Category:Crime in Kyrgyzstan,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427473,Category:Crime in Malawi,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q6213291,Category:Crime in Chad,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q9476901,Category:Crime in Serbia,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q9476932,Category:Crime in Peru,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q12969054,penis removal,"removal of the penis, usually as an act of aggression (for voluntary penis removal, see penectomy)",None,None,None,None,Crime
Q11707569,Category:Crime in Hawaii,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q28457326,2017 Melbourne car attack,"Incident in January 2017 in Melbourne, Australia",None,None,None,None,Crime
Q27868223,Crimen de Gádor,Asesinato ocurrido en Gádor,None,None,None,None,Crime
Q19800756,peeping,"crime of spying in violation of privacy, such as in a bathroom or changing room",None,偷窺,None,None,Crime
Q30815980,Category:July 2016 crimes in the United States,Wikimedia category,None,None,维基媒体分类,None,Crime
Q633339,desertion,crime,absent without official leave,逃兵,None,None,Crime
Q3244112,crime in Brazil,involves an elevated incidence of violent and non-violent crimes,None,None,None,None,Crime
Q58405460,Thunder Bay,podcast,None,None,None,None,Crime
Q55189286,Mara Castilla's femicide,Sex-based hate crime in Mexico,"Mara Castilla, Mara Castilla's case",None,None,None,Crime
Q53864837,Kyriakos Papachronis,None,None,None,None,None,Crime
Q4743606,American Desperado,book by Jon Roberts,None,None,None,None,Crime
