from_id,to_id,relationship
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U607,Q23045211,related
U607,Q28017469,related
U607,P1038,related
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
Q23045278,Q28017566,P461
Q23045278,Q28017469,P279
Q23045278,Q6581072,P1552
Q23045278,Q171318,P31
U608,P1038,related
U608,Q23045278,related
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
Q8194100,Q4167410,P31
U609,Q16724784,related
U609,P1038,related
U609,Q8194100,related
Q2096646,Q15977638,P461
Q2096646,Q954007,P279
Q2096646,Q19822449,P361
Q2096646,Q954007,P31
Q3752578,Q15977638,P461
Q3752578,Q11921506,P40
Q3752578,Q6581097,P1552
Q3752578,Q2096646,P279
Q3752578,Q171318,P31
Q3752578,Q25635186,P460
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U610,Q2096646,related
U610,Q1328927,related
U610,Q3752578,related
U610,P1038,related
Q216622,Q6906,P421
Q216622,Q48,P30
Q216622,Q237901,P974
Q216622,Q2657718,P1343
Q216622,Q863,P17
Q216622,Q19602601,P31
U613,Q216622,related
U613,Q24834652,related
Q284027,Q32755169,P910
Q284027,Q82794,P31
Q284027,Q148,P17
Q284027,Q2657718,P1343
U614,Q284027,related
Q148,Q59261,P208
Q148,Q39099,P38
Q148,Q17410,P6
Q148,Q513,P610
Q148,Q156136,P85
Q148,Q29520,P1889
Q148,Q839778,P2633
Q148,Q2335539,P2853
Q148,Q7435401,P910
Q148,Q187327,P237
Q148,Q8005471,P1424
Q148,Q1152568,P150
Q148,Q27231,P361
Q148,Q862552,P2184
Q148,Q727694,P37
Q148,Q15180,P47
Q148,Q5816,P35
Q148,Q865,P1336
Q148,Q19214,P194
Q148,Q48,P30
Q148,Q2682024,P209
Q148,Q792880,P1589
Q148,Q1145566,P832
Q148,Q4114391,P1343
Q148,Q956,P36
Q148,Q655407,P1906
Q148,Q249203,P1304
Q148,Q6985,P421
Q148,Q32643688,P1792
Q148,Q13426199,P1365
Q148,Q13196750,P5658
Q148,Q54439832,P5008
Q148,Q7463297,P1464
Q148,Q7521902,P1740
Q148,Q317,P122
Q148,Q29520,P706
Q148,Q131147,P163
Q148,Q6482558,P1465
Q148,Q148,P17
Q148,Q13365337,P1151
Q148,Q4122271,P1313
Q148,Q14565199,P1622
Q148,Q42311022,P2959
Q148,Q25648851,P2852
Q148,Q237,P530
Q148,Q7112227,P5125
Q148,Q47185282,P1552
Q148,Q11837483,P78
Q148,Q5611262,P463
Q148,Q216096,P172
Q148,Q859563,P31
Q1847499,Q17431399,P360
Q1847499,Q13406463,P31
Q13189369,Q4167410,P31
Q3236990,Q11582035,P461
Q3236990,Q3123740,P279
Q3236990,Q7165155,P910
Q3236990,Q5460604,P972
Q29520,Q4911987,P1151
Q29520,Q148,P527
Q29520,Q6985,P421
Q29520,Q7976410,P1791
Q29520,Q1411230,P910
Q29520,Q18297022,P2959
Q29520,Q82972,P2184
Q29520,Q7463297,P1464
Q29520,Q8005471,P1424
Q29520,Q55908240,P1465
Q29520,Q865,P1889
Q29520,Q48,P30
Q29520,Q6266,P31
Q3238359,Q6084975,P1889
Q3238359,Q13406463,P31
Q854418,Q716977,P61
Q854418,Q269189,P155
Q854418,Q152151,P156
Q854418,Q2179,P196
Q854418,Q3863,P31
Q854418,Q14310,P65
Q2736887,Q652,P364
Q2736887,Q3751118,P1040
Q2736887,Q148,P921
Q2736887,Q93204,P136
Q2736887,Q1859330,P344
Q2736887,Q38,P495
Q2736887,Q55433,P57
Q2736887,Q221450,P86
Q2736887,Q2846296,P58
Q2736887,Q19616,P162
